Property_ID,City,State,Price,Size_in_Sqft,Owner_Verified,Legal_Issues,Fraud_Type,Property_Status,Listing_Age_Days,Transaction_Type,Seller_Type,Previous_Ownerships,Building_Age,Amenities_Available,Government_Approval_Status,Disputed_Ownership_Claims,Property_Tax_Paid_Status,Mortgage_Status,Listed_vs_Market_Price_Difference(%),Number_of_Complaints_Filed,Agent_Rating,Fraud_Probability_Score
PROP70000,Ahmedabad,West Bengal,16791810,8927,Yes,No,Illegal Construction,For Sale,588,Loan,Broker,1,100,No,Approved,Yes,Pending,Mortgaged,31.280294371860435,4,4.4,0.57
PROP70001,Delhi,Gujarat,70959186,7756,Yes,Yes,Duplicate Listing,For Rent,1114,Cash,Broker,0,80,No,Approved,Yes,Not Paid,No Loan,19.800650702013243,5,1.5,0.89
PROP70002,Chennai,Maharashtra,79582322,1441,Yes,No,Legitimate,Sold,1025,Cash,Broker,3,58,No,Rejected,Yes,Pending,No Loan,-2.7240582772050104,8,2.2,0.16
PROP70003,Hyderabad,Maharashtra,93077429,8318,No,No,Title Fraud,Verified,3374,Installments,Real Estate Agency,2,31,No,Pending,Yes,Pending,Mortgaged,-15.28502642318496,3,4.0,0.64
PROP70004,Hyderabad,Maharashtra,60107871,4087,Yes,No,Title Fraud,Under Dispute,249,Installments,Individual,5,10,No,Pending,Yes,Pending,No Loan,-4.3724278744221365,8,1.2,0.04
PROP70005,Mumbai,Telangana,86598378,7639,No,Yes,Duplicate Listing,For Rent,421,Cash,Real Estate Agency,5,2,Yes,Rejected,Yes,Not Paid,Mortgaged,12.048063742997769,10,1.5,0.09
PROP70006,Delhi,Maharashtra,79877037,2577,Yes,No,Overpricing,Under Dispute,2769,Cash,Individual,0,62,Yes,Rejected,Yes,Paid,Mortgaged,0.6056945500580682,6,4.9,0.68
PROP70007,Pune,Maharashtra,61121422,1515,No,No,Illegal Construction,For Rent,2257,Installments,Individual,0,91,Yes,Approved,No,Not Paid,Mortgaged,-9.849525800256865,6,1.2,0.39
PROP70008,Bangalore,Karnataka,18382158,8694,Yes,Yes,Fake Documents,Verified,242,Loan,Real Estate Agency,1,61,No,Pending,No,Paid,Loan Cleared,27.859828170910873,9,5.0,0.58
PROP70009,Pune,West Bengal,79375088,4262,Yes,Yes,Duplicate Listing,For Rent,1336,Loan,Real Estate Agency,5,60,Yes,Approved,No,Paid,Mortgaged,-12.265720619359556,9,2.4,0.28
PROP70010,Kolkata,Maharashtra,19471803,1589,Yes,No,Title Fraud,For Rent,529,Cash,Real Estate Agency,3,15,Yes,Approved,No,Pending,Loan Cleared,3.1579418360627045,8,4.5,0.28
PROP70011,Ahmedabad,Telangana,72046127,1470,Yes,Yes,Illegal Construction,For Sale,1631,Loan,Broker,3,59,Yes,Rejected,No,Paid,Mortgaged,-16.44039236991721,10,2.7,0.73
PROP70012,Hyderabad,Karnataka,74479855,1379,Yes,Yes,Duplicate Listing,For Rent,1943,Cash,Broker,5,5,Yes,Approved,No,Pending,Loan Cleared,-16.967774229382563,0,4.1,0.87
PROP70013,Delhi,Gujarat,18989605,9546,No,Yes,Overpricing,Under Dispute,1966,Loan,Real Estate Agency,2,69,No,Approved,No,Not Paid,Loan Cleared,41.02924544280247,10,4.8,0.65
PROP70014,Hyderabad,Maharashtra,43800491,3431,No,No,Title Fraud,Sold,2905,Cash,Real Estate Agency,2,17,No,Approved,Yes,Pending,No Loan,-10.787921441181291,7,1.7,0.98
PROP70015,Bangalore,Karnataka,77013399,3671,No,No,Title Fraud,Under Dispute,87,Loan,Individual,1,23,Yes,Pending,No,Pending,No Loan,-2.8561657645619576,9,3.9,0.1
PROP70016,Ahmedabad,Maharashtra,99820688,2768,Yes,No,Duplicate Listing,For Rent,2962,Loan,Individual,4,45,Yes,Approved,Yes,Not Paid,Loan Cleared,-15.223021731481817,7,4.0,0.31
PROP70017,Hyderabad,Tamil Nadu,97539462,5544,Yes,Yes,Overpricing,Under Dispute,3272,Cash,Individual,1,7,Yes,Rejected,No,Not Paid,Loan Cleared,32.28206893445354,6,1.1,0.93
PROP70018,Bangalore,West Bengal,40927946,2509,Yes,No,Fake Documents,Under Dispute,2932,Loan,Individual,5,97,No,Pending,No,Not Paid,Mortgaged,-1.3406512603028062,7,1.7,0.95
PROP70019,Pune,Maharashtra,52325960,4665,No,Yes,Duplicate Listing,For Rent,2530,Loan,Real Estate Agency,1,88,No,Approved,No,Not Paid,Loan Cleared,-11.33801230002502,6,3.0,0.92
PROP70020,Kolkata,West Bengal,12265000,7436,No,No,Fake Documents,Under Dispute,3258,Installments,Individual,5,46,No,Rejected,No,Not Paid,No Loan,-14.620620087687792,0,4.3,0.15
PROP70021,Hyderabad,Maharashtra,93601733,8487,No,No,Title Fraud,Verified,247,Installments,Real Estate Agency,3,20,Yes,Pending,Yes,Paid,Loan Cleared,24.463959011523464,5,3.5,0.07
PROP70022,Bangalore,Tamil Nadu,35152594,7556,No,No,Fake Documents,Sold,2409,Loan,Real Estate Agency,1,81,Yes,Pending,No,Not Paid,Loan Cleared,29.736539296757854,4,1.4,0.34
PROP70023,Delhi,West Bengal,8674772,659,Yes,Yes,Duplicate Listing,For Sale,998,Loan,Broker,2,39,Yes,Approved,No,Pending,Loan Cleared,27.883339130401488,9,1.1,0.71
PROP70024,Hyderabad,Tamil Nadu,88163624,6973,No,Yes,Overpricing,Sold,2996,Installments,Real Estate Agency,4,60,No,Rejected,No,Not Paid,Loan Cleared,7.627595137010289,1,3.9,0.49
PROP70025,Delhi,Maharashtra,79173557,3747,No,No,Illegal Construction,Verified,1703,Loan,Real Estate Agency,1,11,No,Pending,No,Paid,Mortgaged,-6.313102581087552,5,1.7,0.8
PROP70026,Bangalore,Maharashtra,27892697,3408,Yes,No,Overpricing,Verified,2875,Cash,Broker,1,5,No,Pending,Yes,Paid,No Loan,-8.360817208403885,8,4.3,0.43
PROP70027,Kolkata,Gujarat,77097564,4115,No,No,Overpricing,Sold,2262,Loan,Real Estate Agency,0,48,Yes,Rejected,Yes,Pending,Mortgaged,7.675132836402273,5,3.7,0.62
PROP70028,Hyderabad,Maharashtra,60326595,2056,No,No,Legitimate,Verified,1337,Installments,Individual,0,82,No,Pending,No,Pending,No Loan,-2.8310152183425856,3,1.1,0.71
PROP70029,Pune,Maharashtra,35341423,9008,No,No,Duplicate Listing,Sold,2310,Cash,Broker,1,43,Yes,Pending,No,Paid,Loan Cleared,44.43355305413468,1,4.8,0.07
PROP70030,Chennai,Telangana,19972201,658,Yes,No,Illegal Construction,Sold,2091,Installments,Real Estate Agency,1,12,Yes,Approved,No,Paid,No Loan,3.92852317001595,4,2.4,0.43
PROP70031,Delhi,Gujarat,64842904,1325,Yes,Yes,Duplicate Listing,Sold,1137,Installments,Broker,4,10,No,Rejected,No,Paid,Mortgaged,7.351779141416131,3,4.2,0.94
PROP70032,Delhi,Tamil Nadu,33584015,3262,Yes,Yes,Legitimate,Verified,497,Cash,Individual,4,73,Yes,Approved,No,Paid,Loan Cleared,31.114581724219768,7,4.8,0.92
PROP70033,Pune,Telangana,72401703,6223,No,No,Fake Documents,Sold,829,Cash,Real Estate Agency,2,10,No,Pending,Yes,Pending,No Loan,38.705957018247645,6,3.8,0.89
PROP70034,Delhi,Gujarat,98229140,3976,No,No,Fake Documents,Verified,2103,Cash,Real Estate Agency,3,63,Yes,Rejected,No,Not Paid,Mortgaged,-10.468511271440395,1,2.5,0.53
PROP70035,Mumbai,Delhi,21575220,5945,Yes,Yes,Fake Documents,For Rent,119,Installments,Individual,4,80,No,Pending,Yes,Paid,Mortgaged,10.374808677258084,6,2.9,0.08
PROP70036,Kolkata,West Bengal,69772759,2648,Yes,Yes,Duplicate Listing,Under Dispute,1839,Installments,Real Estate Agency,5,86,Yes,Rejected,No,Paid,Mortgaged,-2.361085592952115,5,1.9,0.51
PROP70037,Delhi,Maharashtra,72857827,1826,No,Yes,Fake Documents,Sold,1285,Loan,Real Estate Agency,5,85,Yes,Rejected,No,Pending,No Loan,24.422967465304573,10,4.1,0.06
PROP70038,Pune,Maharashtra,30697736,6230,Yes,No,Overpricing,Verified,3499,Cash,Individual,5,30,Yes,Approved,No,Pending,No Loan,39.59171952886736,6,1.9,1.0
PROP70039,Chennai,Maharashtra,45637763,7472,No,No,Title Fraud,Under Dispute,2666,Loan,Individual,4,89,No,Pending,No,Not Paid,Mortgaged,-14.669019291662433,3,1.6,0.79
PROP70040,Hyderabad,Maharashtra,38164224,1354,Yes,Yes,Fake Documents,For Sale,1733,Cash,Real Estate Agency,2,85,No,Rejected,No,Not Paid,No Loan,26.933406698216316,5,3.9,0.35
PROP70041,Bangalore,Karnataka,50537974,3363,Yes,No,Fake Documents,Verified,1270,Loan,Real Estate Agency,1,21,Yes,Approved,Yes,Not Paid,Loan Cleared,-0.015745920453056783,2,1.6,0.58
PROP70042,Bangalore,Telangana,57482689,5437,Yes,Yes,Overpricing,For Sale,800,Loan,Real Estate Agency,1,33,Yes,Pending,No,Not Paid,No Loan,-4.785658319941309,3,2.7,0.22
PROP70043,Hyderabad,Delhi,10073900,1177,Yes,Yes,Fake Documents,For Sale,1415,Cash,Real Estate Agency,0,70,No,Approved,Yes,Not Paid,Loan Cleared,46.52775834427128,7,1.4,0.43
PROP70044,Ahmedabad,West Bengal,39115095,2263,Yes,No,Overpricing,For Rent,3451,Loan,Real Estate Agency,3,95,Yes,Rejected,No,Not Paid,No Loan,21.467889644967848,5,2.1,0.4
PROP70045,Delhi,Maharashtra,90322540,5977,No,No,Title Fraud,For Sale,1888,Cash,Individual,1,22,Yes,Rejected,Yes,Pending,No Loan,35.45286670119569,9,2.3,0.64
PROP70046,Ahmedabad,Telangana,92426852,8741,No,Yes,Title Fraud,For Sale,1387,Cash,Real Estate Agency,4,44,Yes,Pending,Yes,Pending,No Loan,18.551559954177037,1,2.5,0.71
PROP70047,Bangalore,Telangana,81628435,4317,Yes,No,Illegal Construction,Sold,2414,Cash,Individual,1,31,Yes,Pending,Yes,Not Paid,Loan Cleared,9.336564478845183,4,2.4,0.42
PROP70048,Pune,Maharashtra,45996102,709,No,No,Legitimate,Sold,2640,Loan,Broker,2,90,No,Pending,No,Pending,Loan Cleared,34.339678003847325,8,4.4,0.14
PROP70049,Hyderabad,Maharashtra,82131511,3531,No,No,Duplicate Listing,Verified,17,Loan,Broker,5,3,Yes,Pending,No,Not Paid,Mortgaged,-6.022520302409259,8,3.5,0.21
PROP70050,Delhi,Maharashtra,8138860,6639,No,No,Legitimate,Sold,2385,Installments,Broker,5,14,No,Pending,No,Paid,Loan Cleared,16.635815139826697,7,3.1,0.59
PROP70051,Chennai,Maharashtra,2098351,1399,No,Yes,Legitimate,Sold,260,Loan,Broker,2,38,Yes,Rejected,No,Paid,No Loan,37.31207417685601,6,2.7,0.78
PROP70052,Pune,Delhi,1689947,5303,Yes,No,Title Fraud,For Sale,376,Installments,Individual,5,11,Yes,Approved,Yes,Paid,Loan Cleared,-2.3715870616720167,3,3.9,0.58
PROP70053,Ahmedabad,Karnataka,1511769,1476,Yes,No,Title Fraud,For Rent,2172,Installments,Real Estate Agency,4,50,No,Rejected,No,Paid,No Loan,35.04196527014495,3,4.3,0.77
PROP70054,Kolkata,Karnataka,84723909,4511,No,No,Title Fraud,Sold,694,Cash,Real Estate Agency,2,80,No,Pending,No,Not Paid,Loan Cleared,-7.600573230132939,9,2.6,0.33
PROP70055,Bangalore,Maharashtra,22743743,4265,No,Yes,Overpricing,Sold,3558,Cash,Real Estate Agency,4,32,No,Pending,Yes,Pending,Mortgaged,1.1589168777894372,4,2.3,0.33
PROP70056,Mumbai,Gujarat,67693723,9172,Yes,No,Fake Documents,Verified,466,Cash,Individual,4,54,No,Pending,Yes,Not Paid,Loan Cleared,3.014077481799582,3,4.1,0.81
PROP70057,Delhi,Maharashtra,45698410,5739,Yes,No,Illegal Construction,For Rent,1543,Cash,Broker,4,80,Yes,Rejected,No,Paid,Mortgaged,41.991769215936074,10,3.1,0.96
PROP70058,Bangalore,Tamil Nadu,54427206,645,Yes,No,Title Fraud,Sold,2834,Loan,Broker,1,63,No,Approved,No,Not Paid,No Loan,5.713189759257812,8,2.3,0.28
PROP70059,Ahmedabad,Karnataka,23414079,9379,No,No,Fake Documents,For Rent,2931,Loan,Real Estate Agency,3,96,No,Pending,Yes,Paid,Loan Cleared,31.897479011741957,3,4.3,0.17
PROP70060,Mumbai,Gujarat,29234809,2617,Yes,Yes,Fake Documents,Sold,3424,Cash,Real Estate Agency,4,54,No,Approved,No,Pending,Mortgaged,0.3492194601717209,6,2.6,0.31
PROP70061,Bangalore,Karnataka,8052909,1529,No,Yes,Title Fraud,Verified,2749,Loan,Individual,1,35,Yes,Pending,No,Pending,Mortgaged,8.756713222607317,7,2.0,0.59
PROP70062,Chennai,Maharashtra,92858218,2186,No,Yes,Legitimate,Under Dispute,1828,Installments,Broker,4,3,Yes,Rejected,Yes,Not Paid,No Loan,6.169487882056703,0,2.7,0.62
PROP70063,Mumbai,Delhi,72132645,7104,No,No,Legitimate,Verified,2939,Installments,Individual,4,66,No,Pending,Yes,Not Paid,No Loan,9.177091718240195,1,2.4,0.56
PROP70064,Mumbai,Maharashtra,97962716,6577,No,No,Fake Documents,Sold,720,Installments,Real Estate Agency,1,87,Yes,Pending,No,Paid,Loan Cleared,7.161441967188939,3,4.7,0.24
PROP70065,Chennai,Maharashtra,13335761,4502,Yes,Yes,Fake Documents,Under Dispute,1840,Cash,Individual,5,48,Yes,Approved,No,Not Paid,Mortgaged,1.6474739383877015,5,2.2,0.62
PROP70066,Ahmedabad,Telangana,3602691,1705,Yes,No,Overpricing,Sold,2449,Loan,Broker,4,90,No,Pending,Yes,Not Paid,No Loan,45.667272531670264,7,1.7,0.08
PROP70067,Ahmedabad,Karnataka,89290070,3351,No,Yes,Fake Documents,Under Dispute,918,Installments,Broker,4,83,No,Approved,No,Paid,Loan Cleared,25.66958559458803,2,4.3,0.29
PROP70068,Kolkata,Telangana,68763869,7077,No,Yes,Duplicate Listing,Sold,1366,Loan,Real Estate Agency,4,15,Yes,Approved,No,Paid,No Loan,-15.116927862405301,6,3.9,0.78
PROP70069,Bangalore,Delhi,93207588,3954,Yes,Yes,Title Fraud,For Rent,2049,Cash,Broker,0,38,No,Pending,Yes,Paid,No Loan,-2.043469345221009,7,2.3,0.35
PROP70070,Mumbai,Maharashtra,16356506,4334,Yes,No,Fake Documents,Sold,3569,Installments,Individual,0,15,Yes,Pending,No,Pending,No Loan,17.273442587248574,10,4.1,0.93
PROP70071,Hyderabad,Gujarat,65278453,7869,No,Yes,Illegal Construction,Verified,2310,Loan,Real Estate Agency,2,14,Yes,Approved,No,Not Paid,Loan Cleared,14.665946931670106,0,2.5,0.04
PROP70072,Ahmedabad,Maharashtra,6008688,5734,Yes,No,Overpricing,Under Dispute,1929,Loan,Individual,3,36,Yes,Rejected,Yes,Not Paid,Loan Cleared,26.517290239506124,8,4.9,0.96
PROP70073,Hyderabad,Maharashtra,98501499,2522,No,No,Fake Documents,For Sale,3486,Cash,Broker,2,38,No,Pending,No,Paid,No Loan,48.089261361449104,9,1.8,0.78
PROP70074,Kolkata,Gujarat,24809695,9430,Yes,No,Duplicate Listing,Verified,1476,Cash,Real Estate Agency,5,82,Yes,Rejected,No,Not Paid,Mortgaged,-4.408113586336464,10,3.8,0.98
PROP70075,Ahmedabad,Telangana,88897565,5870,No,No,Legitimate,Verified,2473,Loan,Broker,3,67,No,Rejected,Yes,Paid,No Loan,-16.282116845255576,4,2.8,0.03
PROP70076,Pune,Maharashtra,8248591,7542,No,Yes,Legitimate,Under Dispute,1279,Cash,Individual,3,26,Yes,Pending,Yes,Pending,Loan Cleared,44.3853958763022,0,1.4,0.28
PROP70077,Mumbai,Maharashtra,70585613,5068,Yes,No,Fake Documents,Sold,1720,Loan,Individual,5,16,No,Rejected,No,Pending,Loan Cleared,45.312545683357484,4,1.4,0.73
PROP70078,Delhi,Telangana,19252484,5464,No,No,Legitimate,Verified,1946,Installments,Real Estate Agency,3,61,Yes,Approved,Yes,Paid,Loan Cleared,27.9671828379795,4,3.5,0.02
PROP70079,Chennai,West Bengal,61948798,3291,No,Yes,Legitimate,Sold,1222,Cash,Real Estate Agency,1,51,Yes,Approved,Yes,Not Paid,Mortgaged,18.53063373756524,0,2.1,0.33
PROP70080,Mumbai,Maharashtra,67399031,7395,No,Yes,Duplicate Listing,Under Dispute,1372,Installments,Broker,2,68,Yes,Pending,Yes,Pending,No Loan,47.76204868610181,2,3.7,0.32
PROP70081,Delhi,Maharashtra,69686130,798,No,Yes,Legitimate,Verified,212,Loan,Broker,3,35,Yes,Approved,No,Pending,Loan Cleared,-1.731812709360515,10,4.8,0.81
PROP70082,Bangalore,West Bengal,83064004,8377,No,No,Illegal Construction,For Rent,3103,Loan,Real Estate Agency,0,13,Yes,Rejected,No,Paid,Loan Cleared,44.58093136592453,0,2.4,0.94
PROP70083,Bangalore,Tamil Nadu,79521416,8286,Yes,No,Legitimate,Under Dispute,2338,Installments,Broker,0,5,No,Approved,No,Paid,Mortgaged,4.946400118190731,4,3.8,0.71
PROP70084,Delhi,Maharashtra,16463869,6177,Yes,Yes,Duplicate Listing,For Sale,2136,Loan,Broker,2,46,Yes,Approved,Yes,Not Paid,Loan Cleared,9.262925267175362,6,2.2,0.82
PROP70085,Ahmedabad,Gujarat,18614778,3421,Yes,Yes,Title Fraud,For Rent,1606,Installments,Individual,4,68,No,Pending,Yes,Paid,Mortgaged,-13.559248960777524,3,1.6,0.7
PROP70086,Delhi,Delhi,85591381,3156,Yes,Yes,Title Fraud,For Rent,1937,Installments,Broker,2,80,Yes,Pending,Yes,Paid,No Loan,2.374714357021901,6,3.5,0.11
PROP70087,Kolkata,West Bengal,22067295,6602,No,No,Legitimate,Under Dispute,1931,Cash,Broker,5,55,No,Approved,No,Paid,Mortgaged,14.401155967605803,6,2.2,0.85
PROP70088,Pune,Delhi,36578673,8029,Yes,Yes,Title Fraud,Under Dispute,788,Installments,Real Estate Agency,1,64,No,Pending,No,Pending,Mortgaged,-1.2716786452440338,2,2.9,0.96
PROP70089,Chennai,Tamil Nadu,58421534,8557,Yes,No,Legitimate,For Sale,1763,Cash,Broker,4,14,Yes,Rejected,No,Pending,No Loan,4.84460124313021,2,2.3,0.67
PROP70090,Bangalore,Tamil Nadu,92996430,1110,Yes,No,Legitimate,Sold,2352,Installments,Broker,5,2,Yes,Pending,No,Pending,Loan Cleared,-19.404486542993975,8,4.7,0.85
PROP70091,Chennai,Maharashtra,30833986,4780,Yes,No,Fake Documents,For Rent,75,Cash,Real Estate Agency,3,72,Yes,Approved,No,Pending,Loan Cleared,-6.3569272427605235,9,4.9,0.23
PROP70092,Ahmedabad,Maharashtra,5053657,1067,No,Yes,Fake Documents,Verified,1761,Installments,Individual,2,25,Yes,Approved,No,Paid,Mortgaged,-7.716340378317968,2,3.9,0.76
PROP70093,Kolkata,Tamil Nadu,84135242,7324,No,Yes,Title Fraud,Sold,1687,Cash,Broker,5,97,Yes,Approved,No,Paid,No Loan,30.29021537401229,3,3.7,0.45
PROP70094,Ahmedabad,West Bengal,54460489,3037,Yes,No,Overpricing,For Rent,1886,Loan,Individual,0,58,No,Approved,Yes,Paid,Loan Cleared,48.0997572645165,1,2.9,0.1
PROP70095,Delhi,Maharashtra,39046255,9420,No,No,Fake Documents,For Sale,443,Loan,Broker,2,66,No,Approved,No,Paid,No Loan,46.01399931804522,7,2.3,0.96
PROP70096,Delhi,Tamil Nadu,64989465,2911,Yes,Yes,Duplicate Listing,Under Dispute,291,Installments,Real Estate Agency,4,6,No,Approved,No,Not Paid,No Loan,28.644766871824352,3,2.6,0.17
PROP70097,Bangalore,Maharashtra,38712366,2228,No,Yes,Overpricing,For Sale,1403,Loan,Real Estate Agency,1,96,Yes,Rejected,No,Pending,Mortgaged,38.159593165649625,2,2.6,0.3
PROP70098,Kolkata,Delhi,33338624,3300,No,No,Duplicate Listing,Verified,1446,Cash,Individual,4,42,Yes,Approved,No,Pending,Mortgaged,2.8108763323652894,10,2.8,0.3
PROP70099,Ahmedabad,Tamil Nadu,51917904,8628,No,No,Fake Documents,For Rent,2567,Loan,Individual,0,17,Yes,Rejected,No,Pending,Mortgaged,-1.1527489217669995,4,2.7,0.36
PROP70100,Mumbai,Telangana,43605482,8299,No,No,Legitimate,For Sale,1259,Cash,Individual,4,97,Yes,Approved,No,Paid,No Loan,34.436103350964586,0,2.8,0.47
